School,Phase 1,2A,2B,2C
Admiralty,0.5,0.4266666666666667,1.088235294117647,1.5571428571428572
Ahmad Ibrahim,0.3375,0.09433962264150944,0.0,0.17197452229299362
Ai Tong,0.475,0.9523809523809523,2.5454545454545454,1.7333333333333334
Alexandra,0.40714285714285714,0.1566265060240964,0.09302325581395349,1.110236220472441
Anchor Green,0.4722222222222222,0.3157894736842105,0.0,0.28125
Anderson,0.47333333333333333,0.5822784810126582,0.6129032258064516,1.2432432432432432
Ang Mo Kio,0.35555555555555557,0.5689655172413793,0.0,0.3411764705882353
Anglo-Chinese (Junior),0.3619047619047619,0.753731343283582,1.6774193548387097,1.2741935483870968
Anglo-Chinese,0.3111111111111111,0.8548387096774194,1.9615384615384615,1.2830188679245282
Angsana,0.4,0.7196969696969697,0.0625,1.7578947368421052
Beacon,0.6666666666666666,0.2,0.0,0.36904761904761907
Bedok Green,0.38,0.11702127659574468,0.0,0.1888111888111888
Bendemeer,0.27692307692307694,0.1276595744680851,0.02127659574468085,0.2097902097902098
Blangah Rise,0.38333333333333336,0.5405405405405406,0.0,0.23376623376623376
Boon Lay Garden,0.38333333333333336,0.20270270270270271,0.0,0.2231404958677686
Bukit Panjang,0.5555555555555556,0.975,1.1428571428571428,2.119047619047619
Bukit Timah,0.5333333333333333,0.125,0.027777777777777776,0.6396396396396397
Bukit View,0.23846153846153847,0.08585858585858586,0.0,0.1115702479338843
CHIJ (Katong),0.3142857142857143,0.3125,0.5,0.6
CHIJ (Kellock),0.3357142857142857,0.12903225806451613,0.2978723404255319,0.3828125
CHIJ Our Lady Queen of Peace,0.4,0.20833333333333334,0.35,0.5619047619047619
CHIJ Our Lady of Good Counsel,0.32222222222222224,0.18032786885245902,0.2972972972972973,0.39603960396039606
CHIJ Our Lady of the Nativity,0.3333333333333333,0.2,0.8653846153846154,1.018018018018018
CHIJ (Toa Payoh),0.34,0.78,1.962962962962963,1.2545454545454546
CHIJ St. Nicholas Girls,0.4666666666666667,1.2875,2.3,2.1
Canberra,0.4444444444444444,0.16,0.4583333333333333,1.0737704918032787
Canossa Catholic,0.8,0.25,0.8260869565217391,1.12
Cantonment,0.5,0.08888888888888889,0.058823529411764705,0.4
Casuarina,0.76,0.75,0.0,0.6666666666666666
Catholic High,0.35555555555555557,1.1637931034482758,1.45,1.3
Cedar,0.28888888888888886,0.28125,0.0196078431372549,0.25165562913907286
Changkat,0.375,0.2,0.025,0.47058823529411764
Chongfu,0.5083333333333333,0.6186440677966102,1.5142857142857142,1.5555555555555556
Chongzheng,0.5083333333333333,0.6833333333333333,0.2692307692307692,1.1666666666666667
Chua Chu Kang,0.6722222222222223,0.7457627118644068,0.56,1.7903225806451613
Clementi,0.25,0.07878787878787878,0.0,0.2383177570093458
Compassvale,0.5944444444444444,0.1917808219178082,0.45,1.316831683168317
Concord,0.55,0.3950617283950617,0.027777777777777776,0.7037037037037037
Corporation,0.375,0.22666666666666666,0.05128205128205128,0.2627118644067797
Damai,0.5444444444444444,0.3170731707317073,0.034482758620689655,0.25287356321839083
Dazhong,0.4,0.7261904761904762,0.0,0.9764705882352941
De La Salle,0.5055555555555555,0.1797752808988764,0.11363636363636363,0.75
East Spring,0.3769230769230769,0.13580246913580246,0.0,0.49230769230769234
Edgefield,0.39444444444444443,0.06422018348623854,0.0,0.2839506172839506
Elias Park,0.77,0.9565217391304348,0.0,1.6557377049180328
Endeavour,0.32222222222222224,0.04918032786885246,0.01694915254237288,0.3028571428571429
Evergreen,0.5666666666666667,0.34615384615384615,0.0,0.7021276595744681
Fairfield Methodist,0.5523809523809524,1.0957446808510638,2.6,1.65
Farrer Park,0.21875,0.16,0.01818181818181818,0.22560975609756098
Fengshan,0.44166666666666665,0.4925373134328358,0.06451612903225806,0.78125
Fern Green,0.7222222222222222,1.0,0.05,1.1967213114754098
Fernvale,0.42777777777777776,0.33980582524271846,0.0,0.6201550387596899
First Toa Payoh,0.2111111111111111,0.18309859154929578,0.0,0.07563025210084033
Frontier,0.46,1.0864197530864197,0.65,1.3125
Fuchun,0.48333333333333334,0.43548387096774194,0.03125,0.47368421052631576
Fuhua,0.38125,0.30303030303030304,0.046511627906976744,0.421875
Gan Eng Seng,0.34444444444444444,0.06779661016949153,0.0,0.23478260869565218
Geylang Methodist,0.4857142857142857,0.2962962962962963,0.08888888888888889,1.0151515151515151
Gongshang,0.7125,3.5434782608695654,0.8,2.4318181818181817
Greendale,0.3090909090909091,0.14473684210526316,0.0,0.12105263157894737
Greenridge,0.5583333333333333,0.16981132075471697,0.02857142857142857,0.18446601941747573
Greenwood,0.55,0.1951219512195122,0.07142857142857142,0.7235772357723578
Haig Girls,0.3923076923076923,0.3037974683544304,0.47368421052631576,1.1134020618556701
Henry Park,0.5458333333333333,1.0,1.15,1.4545454545454546
Holy Innocents,0.5095238095238095,1.116504854368932,2.65,2.875
Hong Wen,0.5466666666666666,0.4927536231884058,0.9375,2.1884057971014492
Horizon,0.5722222222222222,1.3636363636363635,0.8,1.8409090909090908
Hougang,0.5846153846153846,0.4074074074074074,0.5483870967741935,1.2894736842105263
Huamin,0.5611111111111111,1.139240506329114,0.05,1.5573770491803278
Innova,0.5333333333333333,0.16071428571428573,0.3055555555555556,0.6041666666666666
Jiemin,0.425,0.20652173913043478,0.0,0.4253731343283582
Jing Shan,0.5666666666666667,1.3076923076923077,0.05,1.0163934426229508
Junyuan,0.46111111111111114,0.7835051546391752,0.0,0.7160493827160493
Jurong,0.36875,0.36633663366336633,0.0,0.584
Jurong West,0.475,1.0317460317460319,0.05,1.05
Keming,0.5555555555555556,0.6375,0.26666666666666666,1.6829268292682926
Kheng Cheng,0.39444444444444443,0.43119266055045874,0.024390243902439025,0.9090909090909091
Kong Hwa,0.5238095238095238,0.74,1.9655172413793103,1.4736842105263157
Kranji,0.5833333333333334,1.0,0.0,0.35
Kuo Chuan Presbyterian,0.4888888888888889,0.6195652173913043,1.125,1.1343283582089552
Lakeside,0.45555555555555555,0.42857142857142855,0.0,0.9411764705882353
Lianhua,0.20384615384615384,0.0821256038647343,0.0,0.14285714285714285
Maha Bodhi,0.5222222222222223,0.7674418604651163,1.4,1.3015873015873016
Maris Stella High,0.3333333333333333,0.8714285714285714,1.1538461538461537,1.4
Marsiling,0.3466666666666667,0.15306122448979592,0.0,0.5174825174825175
Marymount Convent,0.2111111111111111,0.06293706293706294,0.1076923076923077,0.2978723404255319
Mayflower,0.30833333333333335,0.27710843373493976,0.0,0.24793388429752067
Mee Toh,0.45,0.21212121212121213,0.8909090909090909,1.25
Meridian,0.19333333333333333,0.21487603305785125,0.0,0.14012738853503184
Methodist Girls,0.4266666666666667,0.9651162790697675,1.8095238095238095,1.4651162790697674
Montfort Junior,0.24444444444444444,0.10294117647058823,0.2,0.22123893805309736
Nan Chiau,0.5458333333333333,0.3486238532110092,2.7333333333333334,2.966292134831461
Nan Hua,0.6444444444444445,1.476923076923077,1.7,4.8
Nanyang,0.5515151515151515,1.1476510067114094,2.15,1.7272727272727273
Naval Base,0.6333333333333333,1.5151515151515151,0.1,1.5344827586206897
New Town,0.24666666666666667,0.07964601769911504,0.0,0.11585365853658537
Ngee Ann,0.4777777777777778,0.3617021276595745,0.05,1.0
North Spring,0.28888888888888886,0.1171875,0.0,0.21965317919075145
North View,0.5166666666666667,0.7816091954022989,0.0,1.1875
North Vista,0.31666666666666665,0.2845528455284553,0.02040816326530612,0.3716216216216216
Northland,0.5777777777777777,0.9473684210526315,1.0476190476190477,4.545454545454546
Northoaks,0.2916666666666667,0.10588235294117647,0.0,0.145985401459854
Northshore,0.23636363636363636,0.4107142857142857,0.018867924528301886,0.6918238993710691
Oasis,0.6111111111111112,0.9714285714285714,0.09523809523809523,1.0327868852459017
Opera Estate,0.5,0.3,0.029411764705882353,0.7326732673267327
Palm View,0.5666666666666667,0.10256410256410256,0.0,0.5846153846153846
Park View,0.5333333333333333,0.23214285714285715,0.058823529411764705,0.6534653465346535
Pasir Ris,0.675,0.8205128205128205,1.0,1.6170212765957446
Paya Lebar Methodist Girls,0.3047619047619048,0.4794520547945205,0.7608695652173914,1.1650485436893203
Pei Chun Public,0.4708333333333333,0.9133858267716536,1.2083333333333333,1.5576923076923077
Pei Hwa Presbyterian,0.6219512195121951,1.5,1.6,1.875
Pei Tong,0.2727272727272727,0.15625,0.0,0.14795918367346939
Peiying,0.4375,0.32222222222222224,0.0,0.4049586776859504
Poi Ching,0.5277777777777778,0.27058823529411763,1.0975609756097562,2.402439024390244
Princess Elizabeth,0.6214285714285714,1.679245283018868,0.6,5.895833333333333
Punggol Cove,0.4636363636363636,0.5508474576271186,0.02631578947368421,0.7256637168141593
Punggol Green,0.5944444444444444,1.3424657534246576,0.19047619047619047,1.896551724137931
Punggol,0.6846153846153846,0.4146341463414634,0.0,1.2325581395348837
Punggol View,0.5444444444444444,0.6219512195121951,0.03333333333333333,0.5543478260869565
Qifa,0.4318181818181818,0.384,0.3695652173913043,1.0483870967741935
Qihua,0.5,0.4166666666666667,0.0,0.4421052631578947
Queenstown,0.5066666666666667,0.37333333333333335,0.027777777777777776,1.1603773584905661
Radin Mas,0.5,0.7887323943661971,0.88,1.5
Raffles Girls,0.2904761904761905,0.4370860927152318,0.6875,1.1504424778761062
Red Swastika,0.5222222222222223,1.302325581395349,1.1,2.119047619047619
River Valley,0.56,0.7761194029850746,0.64,1.2166666666666666
Riverside,0.58,1.1111111111111112,0.05,1.5254237288135593
Rivervale,0.6857142857142857,0.45454545454545453,0.5,1.9
Rosyth,0.6428571428571429,1.6,1.15,3.4634146341463414
Rulang,0.580952380952381,1.1590909090909092,1.3,2.731707317073171
Sembawang,0.5857142857142857,0.7586206896551724,0.04,0.8933333333333333
Seng Kang,0.26,0.08108108108108109,0.0,0.13496932515337423
Sengkang Green,0.5818181818181818,1.315217391304348,0.75,1.9333333333333333
Shuqun,0.5571428571428572,0.7903225806451613,0.6,1.6166666666666667
Si Ling,0.4444444444444444,0.2,0.0,0.22
Singapore Chinese Girls,0.4090909090909091,0.9615384615384616,0.9523809523809523,1.3488372093023255
South View,0.5761904761904761,1.1797752808988764,1.7,3.2
Springdale,0.4636363636363636,0.4830508474576271,0.0,0.5619834710743802
St. Andrews Junior,0.3055555555555556,0.392,0.8,1.0970873786407767
St. Anthonys Canossian,0.17333333333333334,0.08870967741935484,0.13793103448275862,0.21818181818181817
St. Anthonys,0.3888888888888889,0.4,0.5714285714285714,1.1176470588235294
St. Gabriels,0.28888888888888886,0.203125,0.918918918918919,0.6753246753246753
St. Hildas,0.5095238095238095,1.0970873786407767,1.8,3.4
St. Josephs Institution Junior,0.29444444444444445,0.4409448818897638,1.9318181818181819,1.1136363636363635
St. Margarets,0.19696969696969696,0.2641509433962264,0.3695652173913043,0.639344262295082
St. Stephens,0.16666666666666666,0.15333333333333332,0.45161290322580644,0.3625
Tampines North,0.4666666666666667,0.1875,0.0,0.34057971014492755
Tampines,0.42777777777777776,0.6019417475728155,0.0,0.9019607843137255
Tanjong Katong,0.5071428571428571,0.4782608695652174,0.40625,1.2413793103448276
Tao Nan,0.61,1.1794871794871795,3.4,2.317073170731707
Teck Ghee,0.6333333333333333,0.36363636363636365,0.1724137931034483,0.7619047619047619
Teck Whye,0.29333333333333333,0.19811320754716982,0.041666666666666664,0.13286713286713286
Telok Kurau,0.39444444444444443,0.30275229357798167,0.0,0.4057971014492754
Temasek,0.6,1.0535714285714286,0.6,2.4166666666666665
Townsville,0.3333333333333333,0.2786885245901639,0.02857142857142857,0.25961538461538464
Unity,0.5777777777777777,0.2631578947368421,0.0,0.5
Valour,0.5136363636363637,0.7663551401869159,0.03571428571428571,1.2142857142857142
Waterway,0.45454545454545453,0.5083333333333333,0.025,0.6416666666666667
Wellington,0.6,1.1805555555555556,0.3,1.9636363636363636
West Grove,0.5133333333333333,0.0958904109589041,0.023809523809523808,0.35714285714285715
West Spring,0.5222222222222223,0.7931034482758621,0.07692307692307693,1.0759493670886076
West View,0.5,0.5111111111111111,0.037037037037037035,0.5
Westwood,0.5,0.9111111111111111,0.43478260869565216,1.3898305084745763
White Sands,0.65,0.5476190476190477,0.11538461538461539,1.1025641025641026
Woodgrove,0.49166666666666664,0.16393442622950818,0.21621621621621623,0.9611650485436893
Woodlands,0.46,0.4074074074074074,0.2222222222222222,0.8529411764705882
Woodlands Ring,0.5666666666666667,0.3076923076923077,0.0,0.5047619047619047
Xinghua,0.15555555555555556,0.06578947368421052,0.0,0.16748768472906403
Xingnan,0.32666666666666666,0.1782178217821782,0.0,0.3006993006993007
Xinmin,0.46,0.6666666666666666,0.896551724137931,1.6129032258064515
Xishan,0.45625,0.3333333333333333,0.05128205128205128,0.3706896551724138
Yangzheng,0.66,1.1176470588235294,0.7,1.6041666666666667
Yew Tee,0.44166666666666665,0.08955223880597014,0.075,0.3813559322033898
Yio Chu Kang,0.38333333333333336,0.14864864864864866,0.0,0.1951219512195122
Yishun,0.3375,0.22641509433962265,0.02127659574468085,0.3829787234042553
Yu Neng,0.575,0.8627450980392157,0.5454545454545454,1.4642857142857142
Yuhua,0.31666666666666665,0.18699186991869918,0.018867924528301886,0.14375
Yumin,0.29375,0.10619469026548672,0.0,0.08695652173913043
Zhangde,0.525,0.38596491228070173,0.0,0.9263157894736842
Zhenghua,0.52,0.7638888888888888,0.07692307692307693,0.5789473684210527
Zhonghua,0.35,0.10256410256410256,0.0,0.11578947368421053
